cyc_code,chart_page,name_en,hex_srgb,lum_p10,lum_p90,glare_flag,notes
CYC-0001,P.01,HP NICKEL,#1E2125,25.2,50.5,no,
CYC-0002,P.01,HP BRUSHED NICKEL,#E8D5BA,153.2,238.5,yes,31% of sampled px near clipping; wide luminance spread (85)
CYC-0003,P.01,HP MATT NICKEL,#6A696D,75.1,177.0,yes,wide luminance spread (102)
CYC-0004,P.01,HP GUN METAL,#0D1324,14.8,21.8,no,
CYC-0005,P.01,HP BRUSHED GUN METAL,#3B3B3B,27.8,151.2,yes,wide luminance spread (123)
CYC-0006,P.01,HP MATT GUN METAL,#30302C,25.8,106.9,yes,wide luminance spread (81)
CYC-0007,P.01,HP IMT ROSE GOLD,#161617,18.9,26.3,no,
CYC-0008,P.01,HP IMT BRUSHED ROSE GOLD,#5A3C35,47.2,171.2,yes,3% of sampled px near clipping; wide luminance spread (124)
CYC-0009,P.01,HP IMT MATT ROSE GOLD,#C49E87,92.1,213.7,yes,26% of sampled px near clipping; wide luminance spread (122)
CYC-0010,P.01,HP BRASS,#212628,32.0,43.5,no,
CYC-0011,P.01,HP BRUSHED BRASS,#24251C,32.0,41.0,no,
CYC-0012,P.01,HP MATT BRASS,#3E3E34,56.1,74.6,no,
CYC-0013,P.01,HP GOLD,#171817,19.7,33.2,no,
CYC-0014,P.01,HP BRUSHED GOLD,#D6AF83,66.4,229.8,yes,34% of sampled px near clipping; wide luminance spread (163)
CYC-0015,P.01,HP MATT GOLD,#636E71,75.1,145.0,no,
CYC-0016,P.01,HP LIGHT GOLD,#111215,14.8,20.8,no,
CYC-0017,P.01,HP BRUSHED LIGHT GOLD,#473F38,42.6,197.2,yes,3% of sampled px near clipping; wide luminance spread (155)
CYC-0018,P.01,HP MATT LIGHT GOLD,#2D2928,34.8,51.4,no,
CYC-0019,P.01,HP ROSE GOLD,#221918,13.3,58.2,no,
CYC-0020,P.01,HP BRUSHED ROSE GOLD,#C08679,112.5,196.2,yes,15% of sampled px near clipping; wide luminance spread (84)
CYC-0021,P.01,HP MATT ROSE GOLD,#4C3F44,44.6,113.7,no,
CYC-0022,P.01,HP IMT LIGHT GOLD,#151615,18.7,26.7,no,
CYC-0023,P.01,HP IMT BRUSHED LIGHT GOLD,#4D5356,69.4,114.0,no,
CYC-0024,P.01,HP IMT MATT LIGHT GOLD,#3E3C36,54.6,65.2,no,
CYC-0025,P.01,HP IMT GOLD,#453120,32.7,108.2,yes,wide luminance spread (75)
CYC-0026,P.01,HP IMT BRUSHED GOLD,#2F2314,29.7,44.2,no,
CYC-0027,P.01,HP IMT BRUSHED GOLD MACL,#47321A,47.3,58.8,no,
CYC-0028,P.01,HP SAND NICKEL,#2E2F30,33.8,58.5,no,
CYC-0029,P.01,HP SAND GUN METAL,#0F1114,11.2,21.0,no,
CYC-0030,P.01,HP IMT LIGHT SAND GOLD,#424444,57.5,82.0,no,
CYC-0031,P.01,HP CIRCLE BRUSHED ANTI COPPER,#23130F,14.7,47.6,no,
CYC-0032,P.01,HP CIRCLE BRUSHED ANTI BRASS,#1F1A14,17.5,53.8,no,
CYC-0033,P.01,HP ANCIENT NICKEL,#2D2F30,26.8,102.5,yes,3% of sampled px near clipping; wide luminance spread (76)
CYC-0034,P.01,HP ANCIENT GUN METAL,#05090C,3.1,21.8,no,
CYC-0035,P.01,HP ANCIENT GOLD,#232115,19.0,70.7,no,
CYC-0036,P.02,NICKEL,#3C3E41,35.9,217.0,yes,6% of sampled px near clipping; wide luminance spread (181)
CYC-0037,P.02,BRUSHED NICKEL,#64696D,52.4,242.2,yes,12% of sampled px near clipping; wide luminance spread (190)
CYC-0038,P.02,MATT NICKEL,#8F9092,81.9,225.6,yes,6% of sampled px near clipping; wide luminance spread (144)
CYC-0039,P.02,DARK NICKEL,#12161E,13.3,63.0,yes,3% of sampled px near clipping
CYC-0040,P.02,MATT DARK NICKEL,#1E222C,23.7,56.6,no,
CYC-0041,P.02,BRUSHED DARK NICKEL,#595958,17.0,225.6,yes,8% of sampled px near clipping; wide luminance spread (209)
CYC-0042,P.02,ANTI NICKEL,#313230,18.9,138.2,yes,4% of sampled px near clipping; wide luminance spread (119)
CYC-0043,P.02,MATT LIGHT ANTI NICKEL,#403F3C,29.6,134.6,yes,2% of sampled px near clipping; wide luminance spread (105)
CYC-0044,P.02,BLACK COPPER,#17191C,15.0,55.7,no,
CYC-0045,P.02,IMT BLACK COPPER,#070C14,7.8,16.3,no,
CYC-0046,P.02,TIN,#5A5C5E,63.4,133.0,no,
CYC-0047,P.02,BLACK TIN,#757573,14.7,197.9,yes,4% of sampled px near clipping; wide luminance spread (183)
CYC-0048,P.02,OLD TIN,#2A2C2C,31.6,71.5,no,
CYC-0049,P.02,CONTRAST TIN,#121315,12.9,80.7,no,
CYC-0050,P.02,BLACK COVER NICKEL,#13151B,17.0,59.2,no,
CYC-0051,P.02,BRASS,#2A2D30,34.6,87.5,no,
CYC-0052,P.02,BRUSHED BRASS,#4B5359,62.0,135.3,yes,wide luminance spread (73)
CYC-0053,P.02,MATT BRASS,#333537,14.1,68.4,no,
CYC-0054,P.02,OXIDE BRASS,#17181B,12.5,33.8,no,
CYC-0055,P.02,BLACK COVER BRASS,#312B2D,33.6,85.4,no,
CYC-0056,P.02,DARK ANTI BRASS,#0F1011,10.8,21.7,no,
CYC-0057,P.02,ANTI BRASS,#25211B,17.4,42.5,no,
CYC-0058,P.02,JAPAN ANTI BRASS,#27231D,18.3,42.5,no,
CYC-0059,P.02,BRUSHED ANTI BRASS,#2D2E29,17.2,61.4,no,
CYC-0060,P.02,OLD ANTI BRASS,#312E28,29.2,53.5,no,
CYC-0061,P.02,DISTRESS ANTI BRASS,#0B0B0A,5.8,16.9,no,
CYC-0062,P.02,GM ANTI BRASS,#161715,11.9,29.7,no,
CYC-0063,P.02,COFFEE ANTI BRASS,#272828,31.6,47.5,no,
CYC-0064,P.02,NICKEL BRASS,#424443,59.0,107.1,no,
CYC-0065,P.02,TIN BRASS,#3A3D3D,54.5,103.2,no,
CYC-0066,P.02,STONE WASH GOLD,#1F201F,4.8,40.6,no,
CYC-0067,P.02,CHOLCOLATE ANTI BRASS,#23211D,22.6,44.3,no,
CYC-0068,P.02,RED BRASS,#493E3A,57.3,92.4,no,
CYC-0069,P.02,GM ANTI COPPER,#2D2F33,33.9,54.3,no,
CYC-0070,P.02,ENAMEL ANTI BRASS,#A8B5CB,115.1,200.9,yes,wide luminance spread (86)
CYC-0071,P.03,RED COPPER,#ECAA74,44.3,214.1,yes,42% of sampled px near clipping; wide luminance spread (170)
CYC-0072,P.03,MATT RED COPPER,#DB9974,82.6,207.2,yes,29% of sampled px near clipping; wide luminance spread (125)
CYC-0073,P.03,OXIDE RED COPPER,#3D2D27,28.9,123.4,yes,3% of sampled px near clipping; wide luminance spread (95)
CYC-0074,P.03,BLACK RED COPPER,#1C191C,12.7,89.1,yes,3% of sampled px near clipping; wide luminance spread (76)
CYC-0075,P.03,ORANGE RED COPPER,#352320,27.8,72.6,no,
CYC-0076,P.03,ANTI COPPER,#2F231D,6.8,85.8,yes,wide luminance spread (79)
CYC-0077,P.03,JAPAN ANTI COPPER,#3E3129,18.7,130.2,yes,4% of sampled px near clipping; wide luminance spread (111)
CYC-0078,P.03,PINK ANTI COPPER,#39211A,10.5,95.3,yes,3% of sampled px near clipping; wide luminance spread (85)
CYC-0079,P.03,CHOLCOLATE ANTI COPPER,#17181A,8.5,46.5,no,
CYC-0080,P.03,BRUSHED ANTI COPPER,#4A3D3C,6.6,132.3,yes,6% of sampled px near clipping; wide luminance spread (126)
CYC-0081,P.03,STONE WASH RED,#15110E,8.7,45.1,no,
CYC-0082,P.03,DISTRESS ANTI COPPER,#3F2B22,10.8,81.8,yes,wide luminance spread (71)
CYC-0083,P.03,OLD ANTI COPPER TIN,#332019,21.3,130.7,yes,wide luminance spread (109)
CYC-0084,P.03,COPPER TIN,#4A352F,39.6,118.7,yes,wide luminance spread (79)
CYC-0085,P.03,TIN RED COPPER,#646B72,49.8,135.2,yes,wide luminance spread (85)
CYC-0086,P.03,STAINLESS STEEL,#373537,43.9,110.4,yes,4% of sampled px near clipping
CYC-0087,P.03,LIGHT ALLOY,#616669,80.1,189.5,yes,3% of sampled px near clipping; wide luminance spread (109)
CYC-0088,P.03,MEDIUM ALLOY,#25272A,4.4,56.7,no,
CYC-0089,P.03,DEEP ALLOY,#13161B,5.7,33.9,no,
CYC-0090,P.03,ENAMEL ANTI COPPER,#2B2629,24.8,165.0,yes,wide luminance spread (140)
CYC-0091,P.03,ANTI SILVER,#39393C,5.1,73.7,no,
CYC-0092,P.03,IMT ANTI SILVER,#2A2B2A,10.5,50.3,no,
CYC-0093,P.03,ANTI GOLD,#232019,22.0,49.7,no,
CYC-0094,P.03,ANCIENT GOLD,#1F1E1A,22.7,47.0,no,
CYC-0095,P.03,GOLDED BRASS,#27241A,20.1,93.7,yes,wide luminance spread (74)
CYC-0096,P.03,GOLD,#574F41,36.0,103.6,no,
CYC-0097,P.03,LIGHT GOLD,#454B4D,43.3,97.5,no,
CYC-0098,P.03,ROSE GOLD,#393637,26.7,84.7,yes,2% of sampled px near clipping
CYC-0099,P.03,BRUSHED GOLD,#47443B,47.4,136.2,yes,wide luminance spread (89)
CYC-0100,P.03,MATT GOLD,#424239,47.9,97.3,no,
CYC-0101,P.03,IMT GOLD,#6B5F41,64.8,126.7,yes,3% of sampled px near clipping
CYC-0102,P.03,IMT LIGHT GOLD,#484949,42.7,97.8,no,
CYC-0103,P.03,IMT ROSE GOLD,#4B4949,40.9,95.6,no,
CYC-0104,P.03,BRUSHED ROSE GOLD,#4A423E,35.3,155.0,yes,3% of sampled px near clipping; wide luminance spread (120)
CYC-0105,P.03,RUSTY STEEL,#0F1113,9.9,24.7,no,
CYC-0106,P.04,WHITE ENAMEL,#C1BFC6,183.0,200.2,no,
CYC-0107,P.04,MATT WHITE ENAMEL,#CBCCD4,194.4,212.1,no,
CYC-0108,P.04,RUBBER WHITE,#C8CCD3,193.4,210.7,no,
CYC-0109,P.04,PEARL WHITE,#BEC6DB,188.4,204.6,no,
CYC-0110,P.04,SPRAY DOT ENAMEL,#CCD9EF,91.2,228.6,yes,"position predicted from grid fit, not detected; 6% of sampled px near clipping; wide luminance spread (137)"
CYC-0111,P.04,BLACK ENAMEL,#040403,2.8,6.0,no,
CYC-0112,P.04,MATT BLACK ENAMEL,#121212,14.9,20.9,no,
CYC-0113,P.04,RUBBER BLACK,#0D0E0F,10.9,16.8,no,
CYC-0114,P.04,PEARL BLACK,#04080B,4.4,11.3,no,
CYC-0115,P.04,GRADIENT ENAMEL,#282E35,37.7,53.0,no,
CYC-0116,P.04,EP BLACK,#060604,3.8,7.8,no,
CYC-0117,P.04,MATT EP BLACK,#0B0C0B,7.9,15.9,no,
CYC-0118,P.04,SCREEN PRINT ENAMEL,#131416,3.9,151.1,yes,wide luminance spread (147)
CYC-0119,P.04,RAINDROP ENAMEL,#11151B,18.0,23.6,no,
CYC-0120,P.04,CRACKED ENAMEL,#192129,8.1,214.4,yes,5% of sampled px near clipping; wide luminance spread (206)
CYC-0121,P.04,METALLIC SILVER,#544948,66.5,89.3,no,
CYC-0122,P.04,VELVET ENAMEL,#0C0C0C,8.9,14.7,no,
CYC-0123,P.04,METALLIC RED,#170507,3.7,69.6,no,
CYC-0124,P.04,FLUORESCENCE GREEN,#BFDA52,152.8,225.9,yes,5% of sampled px near clipping; wide luminance spread (73)
CYC-0125,P.04,IMT LEATHER ENAMEL,#22272D,9.9,62.0,no,
